outcome,outcome_unit,estimate,n_subjects,force_levels_mvc,omnibus_test,friedman_statistic,friedman_p_value,first_force_mvc,second_force_mvc,contrast_label,n_pairs,effect_contrast,contrast_ci_low,contrast_ci_high,wilcoxon_statistic,raw_p_value,holm_adjusted_p_value
firing_rate,pps,randomized_hdsemg,50,"10,20,50",friedman,4.1200000000000045,0.12745396989482047,20,10,10_minus_20,50,0.21333333333333365,-0.2013333333333333,0.595333333333334,502.5,0.19250382751265172,0.5775114825379551
firing_rate,pps,randomized_hdsemg,50,"10,20,50",friedman,4.1200000000000045,0.12745396989482047,20,50,50_minus_20,50,0.07333333333333336,-0.3460000000000002,0.4923333333333338,605.5,0.7573924873436124,1.0
firing_rate,pps,randomized_hdsemg,50,"10,20,50",friedman,4.1200000000000045,0.12745396989482047,10,50,50_minus_10,50,-0.1400000000000003,-0.5516666666666667,0.2603333333333331,574.0,0.5398803689380238,1.0
firing_rate,pps,simulation_truth_all_active_motor_units,50,"10,20,50",friedman,36.27999999999997,1.3240308316023118e-08,20,10,10_minus_20,50,0.3530497308423065,0.17813108571668118,0.5112516693307876,261.0,0.00017022784864551,0.00017022784864551
firing_rate,pps,simulation_truth_all_active_motor_units,50,"10,20,50",friedman,36.27999999999997,1.3240308316023118e-08,20,50,50_minus_20,50,-0.5017880086300005,-0.6428690333122049,-0.3455482344254918,128.0,8.403119267086367e-08,1.6806238534172735e-07
firing_rate,pps,simulation_truth_all_active_motor_units,50,"10,20,50",friedman,36.27999999999997,1.3240308316023118e-08,10,50,50_minus_10,50,-0.8548377394723071,-1.0600784460914534,-0.6361489330817315,87.0,2.81308842886574e-09,8.43926528659722e-09
isi_cv,unitless,randomized_hdsemg,50,"10,20,50",friedman,5.8799999999999955,0.05286572873835047,20,10,10_minus_20,50,-0.003633744078238926,-0.01409841945269204,0.007766288670945742,534.0,0.3230277659528582,0.3230277659528582
isi_cv,unitless,randomized_hdsemg,50,"10,20,50",friedman,5.8799999999999955,0.05286572873835047,20,50,50_minus_20,50,0.01057679598995215,0.0005621216032624625,0.020214001353750777,433.0,0.04830953815983641,0.09661907631967281
isi_cv,unitless,randomized_hdsemg,50,"10,20,50",friedman,5.8799999999999955,0.05286572873835047,10,50,50_minus_10,50,0.014210540068191073,0.0033127808242915443,0.02551365445521705,388.0,0.01531204751384152,0.04593614254152456
isi_cv,unitless,simulation_truth_all_active_motor_units,50,"10,20,50",friedman,61.72000000000003,3.959791221038749e-14,20,10,10_minus_20,50,-0.026127126670175388,-0.03631481473446605,-0.015799386183843685,216.0,1.9760169596594324e-05,1.9760169596594324e-05
isi_cv,unitless,simulation_truth_all_active_motor_units,50,"10,20,50",friedman,61.72000000000003,3.959791221038749e-14,20,50,50_minus_20,50,0.03658466260054703,0.03128023499866696,0.041644663496981794,3.0,8.881784197001252e-15,2.6645352591003757e-14
isi_cv,unitless,simulation_truth_all_active_motor_units,50,"10,20,50",friedman,61.72000000000003,3.959791221038749e-14,10,50,50_minus_10,50,0.06271178927072242,0.05222989349068817,0.07225751298067831,15.0,2.433608869978343e-13,4.867217739956686e-13
