outcome,outcome_unit,estimate,force_level_mvc,primary_reference,analysis_role,n_pairs,normal_mean,normal_sd,normal_ci_low,normal_ci_high,dpn_mean,dpn_sd,dpn_ci_low,dpn_ci_high,condition_effect,effect_ci_low,effect_ci_high,wilcoxon_statistic,raw_p_value,selection_seed,holm_adjusted_p_value_across_mvc
firing_rate,pps,randomized_hdsemg,10,False,force_level_robustness,50,12.032666666666666,0.6553197623524758,11.846666666666666,12.206000000000001,11.761999999999999,0.80246954435325,11.535333333333334,11.976999999999999,-0.2706666666666665,-0.5880000000000027,0.014263902513167242,479.5,0.1858141527871645,20260104.0,0.1858141527871645
firing_rate,pps,randomized_hdsemg,20,True,primary_reference,50,12.195,0.4956299960358752,12.056000000000001,12.329333333333336,11.711000000000002,0.7223246831209669,11.509,11.90766666666667,-0.4840000000000002,-0.7320000000000011,-0.245000000000001,261.0,0.0007965856259007172,20260102.0,0.0023897568777021512
firing_rate,pps,randomized_hdsemg,50,False,force_level_robustness,50,11.905,0.7201918521164172,11.705333333333334,12.102333333333334,11.494333333333334,0.8993422262461032,11.233333333333336,11.727333333333334,-0.4106666666666668,-0.7406666666666677,-0.11000000000000425,424.0,0.03929855439937332,20260105.0,0.07859710879874664
firing_rate,pps,simulation_truth_all_active_motor_units,10,False,force_level_robustness,50,10.131380716088252,0.39195981637741756,10.020717803548996,10.236059044138914,11.517570216768009,0.44383736878669655,11.394280526792137,11.637543945704186,1.3861895006797555,1.2203449986321984,1.542981353885085,0.0,1.7763568394002505e-15,,5.329070518200751e-15
firing_rate,pps,simulation_truth_all_active_motor_units,20,True,primary_reference,50,13.002766995291136,0.2709469151972726,12.929654924744694,13.078418471663378,14.035906765128587,0.3990012394186752,13.925314295508374,14.144687410368771,1.0331397698374487,0.9251717021791772,1.133441794334922,0.0,1.7763568394002505e-15,,5.329070518200751e-15
firing_rate,pps,simulation_truth_all_active_motor_units,50,False,force_level_robustness,50,16.884114124291273,0.22890865034822386,16.823547193268606,16.948701079237456,17.415465885498726,0.38196780574914724,17.31356524168913,17.52396225761149,0.5313517612074482,0.42938999945081324,0.6427875522604305,6.0,2.4868995751603507e-14,,2.4868995751603507e-14
isi_cv,unitless,randomized_hdsemg,10,False,force_level_robustness,50,0.16679529249134128,0.019654221895491902,0.16164002379325718,0.17245386840805338,0.13654898896210688,0.022596753073748636,0.13062048035086832,0.14304850259818339,-0.03024630352923435,-0.03826735436454224,-0.021309528319377276,94.0,5.310079487230723e-09,20260104.0,1.0620158974461447e-08
isi_cv,unitless,randomized_hdsemg,20,True,primary_reference,50,0.15256006551037304,0.013586010818958693,0.14883551594136973,0.15635180916245942,0.12594750605937763,0.01796355833772551,0.12111550777258445,0.13100843184632915,-0.02661255945099543,-0.032654734129350806,-0.02042789282276499,58.0,1.4432899320127035e-10,20260102.0,4.3298697960381105e-10
isi_cv,unitless,randomized_hdsemg,50,False,force_level_robustness,50,0.14133833198478435,0.01941429371959443,0.13602581637980393,0.14665817247686516,0.12530256852374105,0.021043342278425536,0.11992048771433675,0.13149993680753305,-0.016035763461043278,-0.023622802457177655,-0.007884084881832521,272.0,0.0002738644978439453,20260105.0,0.0002738644978439453
isi_cv,unitless,simulation_truth_all_active_motor_units,10,False,force_level_robustness,50,0.32064694765195584,0.020842290394529176,0.3153496855841163,0.3267722476950232,0.22752306998522315,0.022947504456373755,0.22117854506602558,0.23370592225180994,-0.09312387766673268,-0.10196906016620064,-0.08402456544205618,0.0,1.7763568394002505e-15,,5.329070518200751e-15
isi_cv,unitless,simulation_truth_all_active_motor_units,20,True,primary_reference,50,0.21731010400998116,0.013808778060946143,0.21342857334764193,0.22103371684558965,0.1503133530134238,0.015333656240595241,0.1464121585992902,0.15483867035603527,-0.0669967509965573,-0.07087640591184659,-0.06257225588462463,0.0,1.7763568394002505e-15,,5.329070518200751e-15
isi_cv,unitless,simulation_truth_all_active_motor_units,50,False,force_level_robustness,50,0.11517157905973147,0.007631025421596686,0.11302081053572724,0.11719051471868842,0.08475949066372118,0.009538265943490849,0.08201071255715456,0.08724664156871122,-0.03041208839601027,-0.033832504110104335,-0.027083501031669503,0.0,1.7763568394002505e-15,,5.329070518200751e-15
