simulation_id,condition,selected_motor_unit_ids,minimum_id,maximum_id,id_span
0,normal,56;72;84;89;95;96;117;136;153;155,56,155,99
0,DPN,16;55;72;83;87;105;127;132;143;166,16,166,150
1,normal,57;90;99;110;113;116;121;133;140;168,57,168,111
1,DPN,7;49;77;88;95;101;116;125;146;152,7,152,145
2,normal,54;96;103;118;125;136;150;160;171;190,54,190,136
2,DPN,4;84;90;98;113;124;137;143;154;164,4,164,160
3,normal,51;68;69;101;104;115;120;134;136;155,51,155,104
3,DPN,66;70;92;99;126;129;143;154;155;160,66,160,94
4,normal,51;65;70;94;112;121;131;148;155;176,51,176,125
4,DPN,45;63;99;100;105;117;122;143;182;185,45,185,140
5,normal,52;74;84;97;107;117;125;144;156;165,52,165,113
5,DPN,47;98;121;127;128;133;135;142;162;170,47,170,123
6,normal,8;30;77;101;112;121;128;134;146;147,8,147,139
6,DPN,69;82;92;94;117;118;127;136;140;191,69,191,122
7,normal,60;71;98;102;107;110;111;112;125;142,60,142,82
7,DPN,64;99;101;104;112;133;134;147;158;168,64,168,104
8,normal,75;98;100;106;113;122;125;126;131;157,75,157,82
8,DPN,43;65;75;83;99;103;108;132;133;152,43,152,109
9,normal,47;54;70;75;87;136;139;156;162;168,47,168,121
9,DPN,74;81;83;135;139;142;147;150;160;169,74,169,95
10,normal,97;102;103;119;127;131;135;144;149;159,97,159,62
10,DPN,40;48;65;75;97;118;134;140;141;142,40,142,102
11,normal,73;94;117;118;126;131;146;162;164;210,73,210,137
11,DPN,44;65;86;105;125;136;153;158;170;182,44,182,138
12,normal,40;86;94;109;114;116;118;136;141;142,40,142,102
12,DPN,62;76;81;99;100;101;103;105;132;151,62,151,89
13,normal,39;83;87;94;107;128;129;133;149;161,39,161,122
13,DPN,10;49;76;101;104;112;132;154;168;192,10,192,182
14,normal,34;82;101;103;115;124;130;140;147;160,34,160,126
14,DPN,20;76;107;136;137;154;168;171;177;191,20,191,171
15,normal,86;88;98;99;112;115;126;129;132;159,86,159,73
15,DPN,36;87;109;113;122;134;152;168;170;175,36,175,139
16,normal,50;57;66;90;114;118;123;129;133;146,50,146,96
16,DPN,45;87;91;120;126;133;135;139;157;165,45,165,120
17,normal,48;64;67;88;92;131;134;139;154;156,48,156,108
17,DPN,55;60;65;69;84;90;96;113;150;177,55,177,122
18,normal,84;93;98;111;116;129;140;149;153;169,84,169,85
18,DPN,50;82;93;98;104;126;133;135;136;165,50,165,115
19,normal,55;67;83;88;89;92;94;114;145;148,55,148,93
19,DPN,53;78;80;88;101;116;129;131;145;148,53,148,95
20,normal,44;69;70;85;87;114;120;145;149;153,44,153,109
20,DPN,4;69;76;77;115;136;169;173;225;247,4,247,243
21,normal,89;91;113;115;117;121;123;131;159;173,89,173,84
21,DPN,74;83;87;94;96;105;137;153;177;180,74,180,106
22,normal,11;55;71;85;105;110;119;127;135;153,11,153,142
22,DPN,51;77;90;112;113;127;131;169;174;178,51,178,127
23,normal,38;67;70;82;88;114;118;121;136;167,38,167,129
23,DPN,68;80;85;88;93;98;107;118;121;152,68,152,84
24,normal,85;105;113;115;119;124;135;170;184;186,85,186,101
24,DPN,94;107;108;116;139;140;144;147;154;157,94,157,63
25,normal,13;47;60;95;98;113;115;117;133;137,13,137,124
25,DPN,40;52;98;100;104;106;110;166;167;181,40,181,141
26,normal,47;48;50;69;118;119;142;145;148;162,47,162,115
26,DPN,9;95;103;123;129;136;148;172;181;194,9,194,185
27,normal,76;80;91;107;111;112;117;120;159;174,76,174,98
27,DPN,55;58;78;79;93;98;133;153;164;189,55,189,134
28,normal,62;89;99;102;115;125;128;145;148;192,62,192,130
28,DPN,23;71;91;95;102;114;127;132;133;172,23,172,149
29,normal,34;48;66;71;80;99;106;120;141;175,34,175,141
29,DPN,36;68;117;126;130;137;138;146;162;174,36,174,138
30,normal,40;80;96;111;112;120;133;134;146;166,40,166,126
30,DPN,62;71;101;104;107;109;141;146;147;148,62,148,86
31,normal,41;69;85;92;94;102;133;141;173;174,41,174,133
31,DPN,79;83;85;91;121;130;131;146;170;176,79,176,97
32,normal,65;72;109;111;127;132;136;158;165;181,65,181,116
32,DPN,8;101;114;118;120;125;147;151;162;163,8,163,155
33,normal,63;65;75;79;104;122;135;141;157;166,63,166,103
33,DPN,65;79;89;107;124;133;138;139;147;148,65,148,83
34,normal,47;48;84;102;111;112;114;124;154;162,47,162,115
34,DPN,22;64;81;84;100;120;123;124;144;176,22,176,154
35,normal,61;70;80;95;96;97;98;121;124;127,61,127,66
35,DPN,16;30;56;78;93;101;104;107;162;191,16,191,175
36,normal,52;72;74;114;118;120;121;125;148;177,52,177,125
36,DPN,42;91;118;122;123;126;142;157;166;169,42,169,127
37,normal,97;107;112;122;124;125;135;140;143;151,97,151,54
37,DPN,43;44;52;61;82;124;129;148;160;163,43,163,120
38,normal,45;70;77;84;86;89;115;118;125;159,45,159,114
38,DPN,12;37;73;86;119;128;131;157;163;164,12,164,152
39,normal,45;53;89;99;112;118;122;127;150;163,45,163,118
39,DPN,82;89;107;110;144;151;154;158;162;163,82,163,81
40,normal,82;85;96;112;114;116;125;139;141;156,82,156,74
40,DPN,29;48;67;75;110;139;161;166;176;179,29,179,150
41,normal,73;79;94;106;109;110;111;121;133;161,73,161,88
41,DPN,31;71;113;123;124;141;161;164;171;183,31,183,152
42,normal,25;67;68;94;97;119;134;137;140;146,25,146,121
42,DPN,16;42;46;58;66;115;117;120;122;156,16,156,140
43,normal,60;65;70;75;101;106;112;117;141;150,60,150,90
43,DPN,71;78;80;83;104;123;124;134;136;138,71,138,67
44,normal,50;64;72;85;89;97;100;106;125;166,50,166,116
44,DPN,62;66;105;110;125;136;140;148;155;175,62,175,113
45,normal,37;66;96;109;111;130;141;143;148;155,37,155,118
45,DPN,29;47;90;100;114;143;147;149;153;190,29,190,161
46,normal,59;65;89;101;117;121;129;142;149;151,59,151,92
46,DPN,62;87;90;101;113;130;140;141;146;150,62,150,88
47,normal,6;47;67;97;110;128;130;134;145;148,6,148,142
47,DPN,88;93;104;125;126;150;157;167;181;215,88,215,127
48,normal,84;89;94;133;140;144;146;152;155;163,84,163,79
48,DPN,35;55;62;68;96;123;124;136;163;200,35,200,165
49,normal,52;65;82;105;108;121;123;127;130;154,52,154,102
49,DPN,63;86;92;110;115;131;134;141;144;153,63,153,90
