n_selection_seeds,mean_difference_across_seeds,sd_difference_across_seeds,median_difference_across_seeds,selection_range_2_5_percentile,selection_range_97_5_percentile,fraction_nonnegative,fraction_nominal_p_below_0_05,eligible_pool_minimum,eligible_pool_median,eligible_pool_maximum,force_level_mvc,isicv,fmin,fmax,sample_size,n_pairs,eligible_pool_difference,eligible_pool_wilcoxon_statistic,eligible_pool_p_value,truth_difference
1000,-0.6320450000000001,0.05032082233191506,-0.6313333333333334,-0.731,-0.5326083333333331,0.0,1.0,15,28.0,44,10,0.15,5.0,15.0,10,50,-0.635095444500588,0.0,1.7763568394002505e-15,1.3861895006797555
1000,-0.540241,0.07572992617516719,-0.5421666666666662,-0.6906833333333333,-0.3919750000000003,0.0,1.0,23,38.0,52,10,0.2,5.0,15.0,10,50,-0.543094065234379,13.0,1.5631940186722204e-13,1.3861895006797555
1000,-0.48118299999999997,0.09868355463275,-0.4800000000000001,-0.6679999999999998,-0.28827499999999984,0.0,0.991,29,44.0,58,10,0.25,5.0,15.0,10,50,-0.4816952820735927,39.0,1.34718902700115e-11,1.3861895006797555
1000,-0.398541,0.12185610232203213,-0.3981666666666665,-0.6303416666666667,-0.16328333333333322,0.0,0.834,34,49.0,65,10,0.3,5.0,15.0,10,50,-0.392691902123034,148.0,3.486415511844143e-07,1.3861895006797555
1000,-0.373625,0.13094553489183244,-0.37866666666666693,-0.6243500000000001,-0.1056333333333331,0.002,0.747,36,51.0,67,10,0.32,5.0,15.0,10,50,-0.3722837760285803,109.0,1.9077969426462005e-08,1.3861895006797555
1000,-0.323032,0.13257390196471103,-0.3221666666666667,-0.5773916666666667,-0.05309166666666674,0.008,0.582,39,52.0,67,10,0.34,5.0,15.0,10,50,-0.3229869836884823,182.0,3.006746544187422e-06,1.3861895006797555
1000,-0.299574,0.14439392306432702,-0.3011666666666666,-0.5667916666666668,-0.0009916666666667554,0.024,0.463,41,54.5,69,10,0.36,5.0,15.0,10,50,-0.29977983678096,197.0,3.579014828104972e-05,1.3861895006797555
1000,-0.22341233333333332,0.14663745531855868,-0.21866666666666645,-0.4913583333333337,0.053391666666666455,0.063,0.245,42,55.5,72,10,0.38,5.0,15.0,10,50,-0.21993926357700655,328.0,0.002356807144249018,1.3861895006797555
1000,-0.16358366666666666,0.1520844590435573,-0.16633333333333317,-0.4636833333333331,0.1250583333333338,0.145,0.15,42,56.0,73,10,0.4,5.0,15.0,10,50,-0.16026285477282823,411.0,0.028256978552906986,1.3861895006797555
1000,0.008542000000000004,0.15566582753977,0.012666666666666621,-0.2940666666666668,0.3173750000000002,0.527,0.032,44,58.0,80,10,0.45,5.0,15.0,10,50,0.004112906838615303,634.0,0.9771032283055696,1.3861895006797555
1000,0.10579633333333333,0.15842709222961238,0.1068333333333332,-0.19945000000000015,0.41575833333333323,0.735,0.079,44,58.0,82,10,0.5,5.0,15.0,10,50,0.10300312681921334,476.0,0.12080975020940343,1.3861895006797555
1000,-0.6078510000000001,0.058097415297238254,-0.6071666666666666,-0.724383333333333,-0.48598333333333366,0.0,1.0,19,29.0,50,20,0.15,5.0,15.0,10,50,-0.6073463166496317,0.0,1.7763568394002505e-15,1.0331397698374487
1000,-0.6010766666666666,0.07982312717271625,-0.6011666666666668,-0.7500499999999999,-0.44930833333333353,0.0,1.0,23,37.0,54,20,0.2,5.0,15.0,10,50,-0.6019112941255021,4.0,1.2434497875801753e-14,1.0331397698374487
1000,-0.5814423333333333,0.10189299818857837,-0.5860000000000001,-0.7873500000000003,-0.3772833333333334,0.0,1.0,27,42.0,59,20,0.25,5.0,15.0,10,50,-0.5830323384524853,6.0,2.4868995751603507e-14,1.0331397698374487
1000,-0.497112,0.12418341846585763,-0.4953333333333334,-0.7430416666666667,-0.267275,0.0,0.95,32,46.0,61,20,0.3,5.0,15.0,10,50,-0.4972960881793287,60.0,1.8094681308866711e-10,1.0331397698374487
1000,-0.43741266666666667,0.13064764769180867,-0.4403333333333334,-0.6813833333333337,-0.18665000000000012,0.0,0.828,34,47.0,62,20,0.32,5.0,15.0,10,50,-0.44504007340473395,123.0,5.7649630846867694e-08,1.0331397698374487
1000,-0.36977433333333337,0.13659685329626578,-0.3636666666666667,-0.64335,-0.10729166666666656,0.002,0.631,34,48.5,63,20,0.34,5.0,15.0,10,50,-0.36993328614003096,194.0,6.010637926934237e-06,1.0331397698374487
1000,-0.31008633333333335,0.14324597128079053,-0.3106666666666667,-0.6039999999999999,-0.03957500000000031,0.01,0.428,34,50.0,63,20,0.36,5.0,15.0,10,50,-0.31182788569800995,264.0,0.0001941578147395262,1.0331397698374487
1000,-0.2034986666666667,0.1447033246387063,-0.20299999999999993,-0.4860500000000002,0.07576666666666675,0.09,0.171,34,50.5,64,20,0.38,5.0,15.0,10,50,-0.20309216870538904,382.0,0.012931948668784443,1.0331397698374487
1000,-0.14526866666666666,0.14712677865061555,-0.1491666666666665,-0.44172500000000003,0.13507500000000047,0.172,0.089,35,51.0,66,20,0.4,5.0,15.0,10,50,-0.14014625869406408,444.0,0.06207125225267518,1.0331397698374487
1000,0.04461966666666665,0.15658446260524642,0.04799999999999995,-0.2576666666666666,0.35037499999999955,0.613,0.041,35,53.0,67,20,0.45,5.0,15.0,10,50,0.04663820900824458,601.0,0.7304479390240814,1.0331397698374487
1000,0.12572166666666665,0.15563293005418416,0.12499999999999997,-0.17503333333333337,0.42870833333333336,0.786,0.084,35,53.0,68,20,0.5,5.0,15.0,10,50,0.12395156464352525,488.0,0.1515030570827971,1.0331397698374487
1000,-0.44787166666666667,0.06095022116461572,-0.44799999999999995,-0.5643833333333328,-0.32628333333333376,0.0,1.0,17,25.0,39,50,0.15,5.0,15.0,10,50,-0.44947988277092593,39.0,1.34718902700115e-11,0.5313517612074482
1000,-0.38212166666666664,0.0888798580090859,-0.37916666666666665,-0.5620916666666665,-0.21130833333333318,0.0,0.946,22,31.0,47,50,0.2,5.0,15.0,10,50,-0.38348333237981325,164.0,9.979758868183808e-07,0.5313517612074482
1000,-0.33775733333333335,0.117649530728027,-0.3388333333333333,-0.5741583333333333,-0.10327499999999991,0.0,0.641,27,35.0,47,50,0.25,5.0,15.0,10,50,-0.33674951546820525,249.0,9.915398697479816e-05,0.5313517612074482
1000,-0.20504433333333333,0.13718663397149636,-0.2046666666666666,-0.47233333333333305,0.06401666666666683,0.076,0.193,30,37.0,50,50,0.3,5.0,15.0,10,50,-0.2147488020352923,382.0,0.012931948668784443,0.5313517612074482
1000,-0.169452,0.13980651790004722,-0.16566666666666674,-0.4360916666666666,0.09699999999999968,0.113,0.121,30,38.0,51,50,0.32,5.0,15.0,10,50,-0.17423657311722698,447.0,0.06633200503891068,0.5313517612074482
1000,-0.10385799999999999,0.14491202387654836,-0.10299999999999988,-0.39068333333333294,0.18734999999999993,0.236,0.056,30,39.0,51,50,0.34,5.0,15.0,10,50,-0.10819212632824549,572.0,0.5335711137818162,0.5313517612074482
1000,-0.06631366666666666,0.14836673170922812,-0.07083333333333343,-0.36435000000000034,0.23534999999999973,0.322,0.038,30,40.0,51,50,0.36,5.0,15.0,10,50,-0.06743823057770637,632.0,0.9618478594751583,0.5313517612074482
1000,-0.022656999999999993,0.15066468095069546,-0.023833333333333435,-0.3113750000000001,0.2719999999999999,0.444,0.017,30,40.0,52,50,0.38,5.0,15.0,10,50,-0.02427905242724531,598.0,0.7089524432753507,0.5313517612074482
1000,0.027651333333333337,0.15358055749807395,0.02850000000000017,-0.2636999999999999,0.33635000000000004,0.568,0.028,30,40.0,52,50,0.4,5.0,15.0,10,50,0.024670634810633488,552.0,0.4151920088524754,0.5313517612074482
1000,0.09777966666666667,0.15441633395060997,0.09483333333333341,-0.19775833333333334,0.39119999999999977,0.727,0.054,30,40.5,52,50,0.45,5.0,15.0,10,50,0.09677011382205986,498.0,0.18125476399734453,0.5313517612074482
1000,0.12390400000000001,0.15708079465338157,0.11850000000000002,-0.18209166666666668,0.4226833333333329,0.784,0.086,30,40.5,52,50,0.5,5.0,15.0,10,50,0.12219886439472621,469.0,0.10525460779046192,0.5313517612074482
